(A, 0.0808283666372206)
(B, 0.014845296268548233)
(C, 0.024830871417549118)
(D, 0.04271545024544611)
(E, 0.12287736640239744)
(F, 0.020939516264299053)
(G, 0.018559974952196714)
(H, 0.06615080119424348)
(I, 0.06988337116595288)
(J, 0.0012166075881425487)
(K, 0.00823222891903074)
(L, 0.03944134453029778)
(M, 0.027183575797560075)
(N, 0.06649073566740095)
(O, 0.07798141542452672)
(P, 0.016290017779467512)
(Q, 9.77311610327746E-4)
(R, 0.05743998031958313)
(S, 0.0625412338279529)
(T, 0.09059924632949043)
(U, 0.03049570049983786)
(V, 0.010224871126815686)
(W, 0.025794764561831173)
(X, 0.0012904091513938432)
(Y, 0.0218273714343222)
(Z, 3.421708841650919E-4)
